epoch,step,train_loss,val_acc,val_loss
0,49,5.837819576263428,,
0,99,5.837703704833984,,
0,149,5.837606906890869,,
0,199,5.837531566619873,,
0,202,,1.0,2.0648114681243896
1,249,5.837473392486572,,
1,299,5.8375067710876465,,
1,349,5.837508678436279,,
1,399,5.837472438812256,,
1,405,,1.0,2.0599379539489746
2,449,5.837411403656006,,
2,499,5.837533473968506,,
2,549,5.83740758895874,,
2,599,5.837487697601318,,
2,608,,1.0,2.0671777725219727
3,649,5.837414741516113,,
3,699,5.837412357330322,,
3,749,5.837368965148926,,
3,799,5.837393283843994,,
3,811,,1.0,2.062796115875244
4,849,5.837370872497559,,
4,899,5.837392330169678,,
4,949,5.837347984313965,,
4,999,5.837375640869141,,
4,1014,,1.0,2.0559403896331787
5,1049,5.837409973144531,,
5,1099,5.837380409240723,,
5,1149,5.837366104125977,,
5,1199,5.8373517990112305,,
5,1217,,1.0,2.061131715774536
6,1249,5.837361812591553,,
6,1299,5.837357044219971,,
6,1349,5.837350368499756,,
6,1399,5.83737325668335,,
6,1420,,1.0,2.05570125579834
7,1449,5.837380886077881,,
7,1499,5.837353706359863,,
7,1549,5.837347030639648,,
7,1599,5.837398529052734,,
7,1623,,1.0,2.0618982315063477
8,1649,5.837348461151123,,
8,1699,5.837357044219971,,
8,1749,5.837342739105225,,
8,1799,5.837355613708496,,
8,1826,,1.0,2.0654001235961914
9,1849,5.837368011474609,,
9,1899,5.837342739105225,,
9,1949,5.837348461151123,,
9,1999,5.8373589515686035,,
9,2029,,1.0,2.061241626739502
10,2049,5.837344646453857,,
10,2099,5.837351322174072,,
10,2149,5.837342262268066,,
10,2199,5.83734655380249,,
10,2232,,1.0,2.0645573139190674
11,2249,5.837350845336914,,
11,2299,5.837339878082275,,
11,2349,5.837339401245117,,
11,2399,5.837357997894287,,
11,2435,,1.0,2.059551477432251
12,2449,5.83734655380249,,
12,2499,5.837343692779541,,
12,2549,5.83733606338501,,
12,2599,5.837344646453857,,
12,2638,,1.0,2.0687649250030518
13,2649,5.837342739105225,,
13,2699,5.837338924407959,,
13,2749,5.837336540222168,,
13,2799,5.837338447570801,,
13,2841,,1.0,2.0634419918060303
14,2849,5.837336540222168,,
14,2899,5.837339401245117,,
14,2949,5.83734130859375,,
14,2999,5.837340831756592,,
14,3044,,1.0,2.0621542930603027
15,3049,5.837339878082275,,
15,3099,5.83734130859375,,
15,3149,5.837335109710693,,
15,3199,5.83734655380249,,
15,3247,,1.0,2.0621886253356934
16,3249,5.837339878082275,,
16,3299,5.837342739105225,,
16,3349,5.837342262268066,,
16,3399,5.8373541831970215,,
16,3449,5.837371349334717,,
16,3450,,1.0,2.065321922302246
17,3499,5.837334632873535,,
17,3549,5.837345123291016,,
17,3599,5.837333679199219,,
17,3649,5.837338924407959,,
17,3653,,1.0,2.0593698024749756
18,3699,5.837347984313965,,
18,3749,5.837344646453857,,
18,3799,5.837339401245117,,
18,3849,5.837335109710693,,
18,3856,,1.0,2.061821699142456
19,3899,5.837362766265869,,
19,3949,5.837338447570801,,
19,3999,5.837353706359863,,
19,4049,5.837338924407959,,
19,4059,,1.0,2.06003999710083
