epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.25,1.8621597290039062,,
0,99,0.5,1.5886987447738647,,
0,149,0.6875,1.1472458839416504,,
0,199,0.6875,1.095221996307373,,
0,202,,,0.6638888716697693,1.065337896347046
1,249,0.625,1.2265830039978027,,
1,299,0.75,0.8180593252182007,,
1,349,0.625,1.3288185596466064,,
1,399,0.75,1.0724834203720093,,
1,405,,,0.7749999761581421,0.7481122612953186
2,449,0.75,1.557150959968567,,
2,499,0.8125,1.0388617515563965,,
2,549,0.8125,0.7642589807510376,,
2,599,0.625,1.3396881818771362,,
2,608,,,0.8277778029441833,0.5706862807273865
3,649,0.8125,0.6926757097244263,,
3,699,0.8125,0.868134081363678,,
3,749,0.875,0.3043217658996582,,
3,799,0.75,0.519904375076294,,
3,811,,,0.8694444298744202,0.45208612084388733
4,849,0.9375,0.4398786425590515,,
4,899,0.8125,1.1376116275787354,,
4,949,0.8125,0.3609635531902313,,
4,999,0.9375,0.1637447476387024,,
4,1014,,,0.9083333611488342,0.380545973777771
5,1049,0.875,0.4912882447242737,,
5,1099,0.8125,0.5740072727203369,,
5,1149,0.8125,0.5960251092910767,,
5,1199,0.9375,0.25167179107666016,,
5,1217,,,0.9138888716697693,0.3139302432537079
6,1249,0.9375,0.3483850061893463,,
6,1299,1.0,0.05420668050646782,,
6,1349,0.9375,0.21917235851287842,,
6,1399,0.9375,0.30128228664398193,,
6,1420,,,0.9222221970558167,0.2838917374610901
7,1449,0.9375,0.18825115263462067,,
7,1499,0.9375,0.3612045645713806,,
7,1549,0.9375,0.19378440082073212,,
7,1599,1.0,0.07189008593559265,,
7,1623,,,0.9305555820465088,0.23519495129585266
8,1649,0.9375,0.15010185539722443,,
8,1699,1.0,0.18241477012634277,,
8,1749,1.0,0.10466302931308746,,
8,1799,0.875,0.2056868076324463,,
8,1826,,,0.9388889074325562,0.2105586975812912
9,1849,0.9375,0.21482238173484802,,
9,1899,0.9375,0.1863265335559845,,
9,1949,1.0,0.09242606163024902,,
9,1999,0.875,0.274274080991745,,
9,2029,,,0.9555555582046509,0.18790817260742188
10,2049,0.9375,0.1655641496181488,,
10,2099,1.0,0.10565034300088882,,
10,2149,0.875,0.2995738089084625,,
10,2199,0.875,0.333828866481781,,
10,2232,,,0.949999988079071,0.16992813348770142
11,2249,0.9375,0.12751072645187378,,
11,2299,1.0,0.1377779245376587,,
11,2349,0.875,0.2908768355846405,,
11,2399,1.0,0.046169642359018326,,
11,2435,,,0.9472222328186035,0.1840074360370636
12,2449,1.0,0.052420906722545624,,
12,2499,1.0,0.06452056765556335,,
12,2549,0.9375,0.1202186644077301,,
12,2599,0.9375,0.1376020461320877,,
12,2638,,,0.9583333134651184,0.150966078042984
13,2649,1.0,0.061528272926807404,,
13,2699,0.9375,0.38849833607673645,,
13,2749,0.9375,0.2609373927116394,,
13,2799,0.9375,0.15111255645751953,,
13,2841,,,0.9666666388511658,0.1316138356924057
14,2849,1.0,0.0870923325419426,,
14,2899,1.0,0.050454240292310715,,
14,2949,0.875,0.17733563482761383,,
14,2999,0.875,0.16470222175121307,,
14,3044,,,0.9472222328186035,0.16056746244430542
15,3049,1.0,0.06962130963802338,,
15,3099,1.0,0.06739059090614319,,
15,3149,1.0,0.15175142884254456,,
15,3199,1.0,0.10382913798093796,,
15,3247,,,0.9638888835906982,0.14687620103359222
16,3249,1.0,0.08339563757181168,,
16,3299,1.0,0.030494244769215584,,
16,3349,0.9375,0.19373534619808197,,
16,3399,1.0,0.06712035834789276,,
16,3449,1.0,0.11160552501678467,,
16,3450,,,0.9722222089767456,0.12442076206207275
17,3499,0.9375,0.10705596208572388,,
17,3549,1.0,0.02131793089210987,,
17,3599,1.0,0.036632828414440155,,
17,3649,1.0,0.03516901656985283,,
17,3653,,,0.9638888835906982,0.1285306066274643
18,3699,0.9375,0.1739290952682495,,
18,3749,1.0,0.06611742824316025,,
18,3799,1.0,0.012379472143948078,,
18,3849,0.9375,0.07095228880643845,,
18,3856,,,0.9611111283302307,0.11170531064271927
19,3899,1.0,0.03071638196706772,,
19,3949,0.9375,0.07537054270505905,,
19,3999,1.0,0.02442937158048153,,
19,4049,0.875,0.28852930665016174,,
19,4059,,,0.9527778029441833,0.1354507952928543
